"","date","GNPannGrowth15","TenYrQrt.T10yrq","FiveYrQrt.T5yrq","TbillQrt.T3moq","TbillQrtSec.T3moqs","TS5","TS5sec","TS10","TS10sec"
"88",1975-01-01,0.0632587452073259,0.075,0.0741,0.0626,0.0626,0.0107643665871585,0.0107643665871585,0.0116019265449204,0.0116019265449204
"89",1975-04-01,0.0508341631805167,0.0823,0.0799,0.0561,0.0561,0.0222855664862853,0.0222855664862853,0.0245055285486719,0.0245055285486719
"90",1975-07-01,0.0433270045780237,0.0806,0.0792,0.0613,0.0613,0.0167254541257694,0.0167254541257694,0.0180218706421887,0.0180218706421887
"91",1975-10-01,0.0339125423765839,0.0814,0.0797,0.0596,0.0596,0.0187917463551799,0.0187917463551799,0.0203650195499896,0.0203650195499896
"92",1976-01-01,0.0455674925153403,0.0774,0.0746,0.0487,0.0487,0.0243971974543617,0.0243971974543617,0.026999429406074,0.026999429406074
"93",1976-04-01,0.0583387970539387,0.0756,0.0725,0.0486,0.0486,0.0225364306637397,0.0225364306637397,0.0254227042562773,0.0254227042562773
"94",1976-07-01,0.0492229687282105,0.0783,0.0749,0.0523,0.0523,0.0212493892322512,0.0212493892322512,0.0244074821412602,0.0244074821412602
"95",1976-10-01,0.0409098600145894,0.0741,0.0675,0.0492,0.0492,0.017291497110061,0.017291497110061,0.0234551326112828,0.0234551326112828
"96",1977-01-01,0.0588549897941594,0.0721,0.0658,0.0462,0.0462,0.0185611389261712,0.0185611389261712,0.0244547899256834,0.0244547899256834
"97",1977-04-01,0.0516207293368286,0.0737,0.0679,0.0454,0.0454,0.021294515898678,0.021294515898678,0.0267110401612683,0.0267110401612683
"98",1977-07-01,0.0680802927044152,0.0733,0.0684,0.0519,0.0519,0.0155641494905773,0.0155641494905773,0.0201399617422501,0.0201399617422501
"99",1977-10-01,0.0652828638171023,0.0752,0.0732,0.0616,0.0616,0.0108676355334711,0.0108676355334711,0.0127294867508871,0.0127294867508871
"100",1978-01-01,0.0300097277723718,0.0796,0.0777,0.0644,0.0644,0.0124178804992519,0.0124178804992519,0.0141793420403155,0.0141793420403155
"101",1978-04-01,0.0288770975987864,0.0815,0.0798,0.0629,0.0629,0.0157748172446506,0.0157748172446506,0.0173479448535775,0.0173479448535775
"102",1978-07-01,0.016541797342076,0.0864,0.0854,0.0701,0.0701,0.0141964805963489,0.0141964805963489,0.0151173757714761,0.0151173757714761
"103",1978-10-01,0.0177836021075769,0.0864,0.0861,0.0799,0.0799,0.00572485404727624,0.00572485404727624,0.00600103356571759,0.00600103356571759
"104",1979-01-01,-0.00606823631017634,0.091,0.092,0.0935,0.0935,-0.00137268381197202,-0.00137268381197202,-0.00228885428375171,-0.00228885428375171
